clinic_name,address,postal_code,X,Y,LAT,LONG
DA CLINIC @ BISHAN,501 BISHAN STREET 11 #01-374 Singapore 570501,570501,29753.7740479552,36726.6113335229,1.34841689796893,103.849077333761
SINGHEALTH POLYCLINICS - TAMPINES,1 TAMPINES STREET 41 TAMPINES POLYCLINIC Singapore 529203,529203,40523.3977602697,37710.2467688452,1.35730996422408,103.945849465407
115 EASTPOINT CLINIC & SURGERY,115 BEDOK NORTH RD #01-301 Singapore 460115,460115,39559.9826698601,34873.5937474445,1.33165671408123,103.937191479115
18 CLINIC,101 TOWNER ROAD #01-228 Singapore 322101,322101,31090.4039713929,33520.8904955406,1.31942539040728,103.861087462608
"1AESTHETICS, MEDICAL & SURGERY",8 EU TONG SEN STREET THE CENTRAL #14-90 Singapore 059818,059818,29473.4380060931,30138.7430892456,1.2888385619346,103.846558025016
326 AVENUE 3 CLINIC,326 SERANGOON AVE 3 #01-382 Singapore 550326,550326,31970.6072592736,36940.6068259068,1.35035198508252,103.868996990604
338 FAMILY CLINIC,338 ANG MO KIO AVE 1 #01-1615 Singapore 560338,560338,29743.7051004919,38438.1784593332,1.36389570157549,103.848986957428
8 MEDICAL AESTHETIC CLINIC,9 BRAS BASAH ROAD RENDEZVOUS HOTEL SINGAPORE #03-04 Singapore 189559,189559,29780.3813309169,31216.2318842765,1.29858297554079,103.849316097782
8 MEDICAL AESTHETIC CLINIC,51 CUPPAGE ROAD #01-03 Singapore 229469,229469,28760.9446823087,31688.4522932004,1.30285361223718,103.840156017375
8 MEDICAL AESTHETIC CLINIC,1 GRANGE ROAD ORCHARD BUILDING #06-05 Singapore 239693,239693,28449.6799369142,31527.5869796015,1.3013988090487,103.837359158088
81 FAMILY CLINIC,86 MARINE PARADE CENTRAL #01-670 Singapore 440086,440086,36172.7570828644,31565.1249395255,1.30173721675889,103.906754510468
818 FAMILY CLINIC AND SURGERY,818 WOODLANDS ST 82 #01-421 Singapore 730818,730818,23171.524358692,47037.221193837,1.44166198623149,103.78993000553
888 PLAZA FAMILY CLINIC,888 WOODLANDS DRIVE 50 888 PLAZA #01-739 Singapore 730888,730888,23770.7139348243,46535.3137346059,1.43712301500436,103.795314383823
A & A CLINIC,570B WOODLANDS AVENUE 1 #01-07 Singapore 732570,732570,23229.8236129351,45865.3427206948,1.43106395485683,103.790454078756
A LIFE CLINIC PTE LTD,10 SINARAN DRIVE NOVENA MEDICAL CENTER #09-21 Singapore 307506,307506,29206.6250939963,33662.3578150738,1.32070490289998,103.844160737673
A&M MEDICAL CENTRE,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE #04-17 Singapore 239924,239924,29201.1359043479,31168.6460736748,1.29815265394506,103.844111318107
A+FFORDABLE CLINIC (HOUGANG),681 HOUGANG AVENUE 8 #01-829 Singapore 530681,530681,33827.0917704752,39442.5554239843,1.3729784028481,103.88567915953
ABBOTT MANUFACTURING SINGAPORE MEDICAL CENTRE,26 TUAS SOUTH AVENUE 10 Singapore 637437,637437,5249.29378449787,29486.734125983,1.28293383711502,103.628895042891
ABLE MEDICAL,201D TAMPINES STREET 21 #01-1129 Singapore 524201,524201,41384.4689885915,37152.1435894389,1.35226231425317,103.953586491358
ACACIA MEDICAL CLINIC,"180 DEPOT ROAD INTERLACE, THE #01-07 Singapore 109684",109684,24628.4342854727,29404.851057671,1.28220135394635,103.803023755825
ACCESS MEDICAL (BRADDELL),124 LORONG 1 TOA PAYOH #01-489 Singapore 310124,310124,29258.5400435075,35646.4986069836,1.33864876713619,103.844627302235
ACCESS MEDICAL (BUKIT BATOK),164 BUKIT BATOK STREET 11 #01-152  Singapore 650164,650164,17929.8115842031,36649.3988269754,1.34771697477221,103.742831711054
ACCESS MEDICAL (CIRCUIT ROAD),88 CIRCUIT ROAD #01-965 Singapore 370088,370088,33846.4165160195,33975.9805272054,1.32354065999157,103.885851746701
ACCESS MEDICAL (EAST COAST),18 BEDOK SOUTH ROAD #01-69 Singapore 460018,460018,39286.5650113056,33653.7554724943,1.32062504871282,103.934734222428
ACCESS MEDICAL (JURONG WEST),463 JURONG WEST STREET 41 #01-564 Singapore 640463,640463,15749.6066890932,36965.7347308975,1.35057698710495,103.723241115887
ACCESS MEDICAL (KIM KEAT),19 LORONG 7 TOA PAYOH KIM KEAT PALM #01-272 Singapore 310019,310019,30580.3137746411,35274.2596137486,1.33528228598944,103.856504185339
ACCESS MEDICAL (MARINE TERRACE),58 MARINE TERRACE #01-61 Singapore 440058,440058,36981.9965683648,32049.5338720083,1.30611781253452,103.914026029355
ACCESS MEDICAL (REDHILL CLOSE),86 REDHILL CLOSE #01-600 Singapore 150086,150086,26370.1359434602,29926.6061721333,1.28692006229633,103.818673592235
ACCESS MEDICAL (TAMPINES 730),730 TAMPINES STREET 71 TAMPINES COURTVIEW #01-51 Singapore 520730,520730,39148.9538328977,37643.4100968484,1.3567060645644,103.933499180009
ACCESS MEDICAL (TECK GHEE),410 ANG MO KIO AVENUE 10 TECK GHEE SQUARE #01-837 Singapore 560410,560410,30373.3779565093,38307.6737494823,1.36271541988054,103.854644986527
ACCESS MEDICAL (TOA PAYOH),66 LORONG 4 TOA PAYOH #01-315/317 Singapore 310066,310066,30054.3840998653,35244.5149029344,1.33501332563653,103.851778402294
ACCESS MEDICAL (WHAMPOA),87 WHAMPOA DRIVE #01-869 Singapore 320087,320087,30494.7856541225,33948.121511776,1.32328917067447,103.855735557842
ACCESS MEDICAL BEDOK SOUTH,59 NEW UPPER CHANGI ROAD #01-1268 Singapore 461059,461059,39949.9935097335,34033.4911793992,1.3240589861881,103.940695612461
ACCLARO CLINIC,290 ORCHARD ROAD PARAGON #19-01 Singapore 238859,238859,28282.5637398545,31801.0936260298,1.30387230879998,103.835857545469
ACCORD MEDICAL CLINIC,325 UBI AVENUE 1 #01-701 Singapore 400325,400325,35846.7721392152,34436.4705185033,1.32770471680568,103.903826117652
ACCRELIST MEDICAL AESTHETICS,500 LORONG 6 TOA PAYOH #B1-30 Singapore 310500,310500,29532.8697974834,35005.9023383204,1.33285542912055,103.847092284316
ACMS MEDICAL CLINIC,1 GRANGE ROAD ORCHARD BUILDING #06-06 Singapore 239693,239693,28449.6799369142,31527.5869796015,1.3013988090487,103.837359158088
ACUMED MEDICAL GROUP,16 COLLYER QUAY INCOME AT RAFFLES #02-03 Singapore 049318,049318,30140.0047193398,29624.496220557,1.28418785563907,103.852547365757
ACUMED MEDICAL GROUP,1 JURONG WEST CENTRAL 2 JURONG POINT SHOPPING CENTRE #B1A-19E Singapore 648886,648886,13907.0305282861,35735.7564695273,1.33945271661449,103.70668501289
ACUMED MEDICAL GROUP,38 TEBAN GARDENS ROAD #01-318/319 Singapore 600038,600038,17924.7992363678,33710.5352739542,1.32113896630027,103.742787643913
ACUMED MEDICAL GROUP,7 PIONEER ROAD NORTH #01-40 Singapore 628459,628459,12654.1397361875,34119.6162753589,1.32483634845566,103.695427890578
ACUMED MEDICAL GROUP,111 WOODLANDS STREET 13 #01-78 Singapore 730111,730111,22295.6422492389,46626.1027939096,1.43794381732232,103.782059433742
ACUMED MEDICAL GROUP,64 YUNG KUANG ROAD #01-107/111 Singapore 610064,610064,15661.6119397782,34952.8838181254,1.332373476165,103.722451248339
ACUMED MEDICAL GROUP,71 PIONEER ROAD TUAS AMENITY CENTRE #01-06 Singapore 639591,639591,7846.16949900334,33270.5005676597,1.31715448604403,103.652226413169
