blk_no_street,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,postal_code,X,Y,LAT,LONG
1 BEACH RD,142,0,1,138,1,2,0,0,0,0,0,0,0,189673,30353.6887844423,30798.0889814925,1.29480140040308,103.854467488812
1 BEDOK STH AVE 1,206,0,0,204,0,2,0,0,0,0,0,0,0,460001,39173.8123528327,33678.855652012,1.32085208689734,103.933721091441
1 CHAI CHEE RD,102,0,0,0,10,92,0,0,0,0,0,0,0,461001,37949.0264732647,34465.7385691106,1.32796879176303,103.922716018139
1 CHANGI VILLAGE RD,55,0,0,54,0,1,0,0,0,0,0,0,0,500001,45192.2992945584,41164.5011992678,1.38854656229024,103.987804503483
1 DELTA AVE,96,0,0,0,0,96,0,0,0,0,0,0,0,160001,27473.0907973968,30496.6361175757,1.29207525084313,103.828584077626
1 DOVER RD,125,0,0,118,0,7,0,0,0,0,0,0,0,130001,22430.3993383888,31652.2529348582,1.30252574694854,103.783273166817
1 EUNOS CRES,247,0,0,0,0,0,0,0,0,0,247,0,0,400001,35695.1421928097,33657.2366538383,1.32065764524824,103.90246344511
1 EVERTON PK,95,0,0,62,0,33,0,0,0,0,0,0,0,081001,28743.7209585873,28876.8581355177,1.27742654288698,103.840001188095
1 GHIM MOH RD,220,0,0,216,0,4,0,0,0,0,0,0,0,270001,22829.0481462588,32797.1388136055,1.31287975684311,103.786855017635
1 HAIG RD,219,0,0,214,0,5,0,0,0,0,0,0,0,430001,35165.4262051481,32621.4964887481,1.31129091152628,103.897703432652
1 HOLLAND CL,319,0,0,0,0,0,0,0,0,319,0,0,0,271001,23928.2995005117,32392.3745715004,1.30921937771546,103.796732386696
1 HOUGANG AVE 3,204,0,0,200,0,4,0,0,0,0,0,0,0,530001,34641.9836505933,38464.2702785339,1.36413097349223,103.89300132385
1 JLN BT MERAH,244,0,0,244,0,0,0,0,0,0,0,0,0,150001,25209.2313396927,29875.0296186823,1.28645354030176,103.808242400418
1 JLN KUKOH,84,0,0,0,0,0,0,0,0,0,56,14,14,161001,28736.2590833657,30071.5608476773,1.28823101528052,103.839934168065
1 KG KAYU RD,107,0,0,106,1,0,0,0,0,0,0,0,0,431001,33617.7229815451,31766.3615687322,1.30355769675631,103.883796413118
1 LOR LEW LIAN,179,0,0,176,0,3,0,0,0,0,0,0,0,531001,32676.9506735914,36997.5798279066,1.3508671264695,103.875343939672
1 LOR 7 TOA PAYOH,197,0,0,196,0,1,0,0,0,0,0,0,0,310001,30239.6090564913,35732.9267157279,1.3394303354336,103.853442790992
1 MARINE TER,96,0,0,0,0,96,0,0,0,0,0,0,0,440001,37492.7093472737,31907.0427379254,1.30482902187781,103.918614976369
1 MARSILING DR,159,0,0,158,0,1,0,0,0,0,0,0,0,730001,21592.3873497102,46927.6887764186,1.44067109860247,103.775739945213
1 MAUDE RD,176,0,0,0,0,0,0,0,0,0,176,0,0,200001,30854.4750570184,32211.3400053438,1.30758230206091,103.858967398343
1 PINE CL,156,0,0,0,100,56,0,0,0,0,0,0,0,390001,33550.4661899337,32243.2548700552,1.3078705621941,103.883192164927
1 QUEEN'S RD,88,0,0,0,0,88,0,0,0,0,0,0,0,260001,25046.8345266522,33282.1473548449,1.31726629524361,103.806782877524
